title,price,categoryName,asin,imgUrl,productURL,stars,reviews,isBestSeller,boughtInLastMonth,EcoLabel
"YMWALK Washi Tape, 12 Rolls Decorative Tape Coloured Floral Poster Tape Scrapbooking Tape Washi Tape Set for DIY Art & Crafts and Gift Wrapping Holiday Decoration Office bullet journal",6.99,Art & Craft Supplies,B0C4F46N5W,https://m.media-amazon.com/images/I/91U3yKpSA6L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0C4F46N5W,5.0,1,False,0,1
"Epoxy Resin Pigment - 15 Colour Liquid Epoxy Resin Dye - Highly Concentrated Epoxy Resin Colourant for Resin Colour Art, DIY Crafts Making Supplies - AB Resin Colouring for Paint, Crafts - 10ml Each",9.99,Art & Craft Supplies,B07YHH741G,https://m.media-amazon.com/images/I/81iPQj+++WL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B07YHH741G,4.5,3055,False,100,0
"Cobee Bling Art Drawing Pens, 1 Pack Retractable Craft Engraving Pens with 2 Pack Replacement Refills Cute DIY Art Hobby Paper Painting Pens Creative Carving Tool for Drawing School Supplies(Pink)",2.88,Art & Craft Supplies,B0C343P5BG,https://m.media-amazon.com/images/I/61G68BWJlWL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0C343P5BG,3.7,6,False,0,2
FINGERINSPIRE 50 Pack Double Sided Tape Sheets 10x21cm Clear Strong Adhesive Tap Sheet PET Self Adhesive Transparent Sticker for DIY Card Arts Craft Photo Albums Making,8.29,Art & Craft Supplies,B09CLCPTZN,https://m.media-amazon.com/images/I/41VzTwafrSL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09CLCPTZN,1.8,3,False,0,0
6pcs EVA Painting Sponges Foam Painting Stamper Paint Sponge Brush Art Drawing Tools Animal Graffiti Sponge Assorted Shapes for Early Educational Learning DIY Crafts Supplies,6.99,Art & Craft Supplies,B0C8N6KZ58,https://m.media-amazon.com/images/I/61MB3mWF4CL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0C8N6KZ58,0.0,0,False,0,0
Mini Ink Blending Brushes Tools 2 Handle with 42 Refills Replacement Round Foams and 20 Plastic Storage Cases Stackable Jars Set for Scrapbooking Painting Art Supplies Tool Craft Cardmaking Drawing,25.99,Art & Craft Supplies,B0BHP4H6QX,https://m.media-amazon.com/images/I/610aaE7gtvL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BHP4H6QX,0.0,0,False,0,0
"30Pcs Christmas Stencils, 3x3 Inch Christmas Stencil for Painting on Wood Reusable, DIY Plastic Christmas Scrapbook Stencil, Ornaments Drawing Templates for Cards Drawing Art Supplies",7.39,Art & Craft Supplies,B0BG8QG1BC,https://m.media-amazon.com/images/I/81ijdr2wWtL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BG8QG1BC,0.0,0,False,0,2
Allazone Canvas Zipper Pouch Bags Canvas 15 Pack Blank Craft DIY Canvas Pencil Pouch Blank Pencil Case Canvas Cosmetic Bag for Travel DIY Craft,11.99,Art & Craft Supplies,B09Y97VC29,https://m.media-amazon.com/images/I/71WQLHUBONL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09Y97VC29,5.0,3,False,0,1
"Reeves Acrylic Paint - Highly Pigmented Colours - Water-Based Colour Paints for Artists - Art Supplies for Adults & Kids - Suitable for Canvas, Fabric, Metal & More - 4x75ml Fluorescent Colours Pack",14.99,Art & Craft Supplies,B06WGRZ7FT,https://m.media-amazon.com/images/I/61EQ-1HDE-L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B06WGRZ7FT,3.5,12,False,0,0
"Washi Tape Set 8 Rolls Masking Tape Decorative for Arts, DIY Crafts, Journal Supplies, Planners, Scrapbook, Card/Gift Wrapping (Milk Tea)",4.49,Art & Craft Supplies,B09X9SNF1B,https://m.media-amazon.com/images/I/61z41t3I0+L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09X9SNF1B,4.7,4,False,0,1
"KINBOM 2 Packs of 20 Pieces Nylon Hair Brush Set, Acrylic Watercolor Oil Painting Brushes for Drawing Art Craft Supplies for Miniature Details (Blue)",6.49,Art & Craft Supplies,B09K7NC549,https://m.media-amazon.com/images/I/71+M35XX-tL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09K7NC549,4.3,8,False,0,0
GORGECRAFT 2 Styles Metal Celtic Knot Stencil Stainless Steel Painting Template Reusable Drawing Tool for Wood Burning Engraving Pyrography Art Crafts,7.09,Art & Craft Supplies,B0BLHK4KX4,https://m.media-amazon.com/images/I/71+pUSbZyDL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BLHK4KX4,4.6,12,False,0,1
"Cylindrical Washi Tape Organzier Plastic Portable Tape Dispenser Office Holder for Arts, DIY Crafts, Bullet Journal Supplies, Scrapbooking -Transparent- (Transparent)",6.99,Art & Craft Supplies,B07PMQKPNQ,https://m.media-amazon.com/images/I/41+txM5c0RL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B07PMQKPNQ,3.7,142,False,0,0
Natural Bristle Wooden Handle Stencil Painting Brushes for Acrylic Oil Watercolor Art Painting DIY Crafts Card Making Supplies 16cm Long 1.1cm Diameter 10 Pieces Same Size Set,8.99,Art & Craft Supplies,B0BSGJP25R,https://m.media-amazon.com/images/I/71a-kVjxACL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BSGJP25R,0.0,0,False,0,2
